category,cost,is_free,is_official,latitude,location.state,longitude,event_date,repeat_times,has_image,description_words,duration,day_of_week,time,is_attractive,city,for_kids
food-and-drink,15.0,False,False,40.7438054,NY,-73.9515007,2018-09-20,1,True,30,0,Thurs,afternoon,True,Long Island City,False
kids-family,20.0,False,False,40.741741919252895,NY,-73.96097775742491,2018-09-23,1,True,29,0,Sun,morning,False,Long Island City,True
food-and-drink,17.0,False,False,40.749086,NY,-73.95536120000001,2018-10-13,1,True,26,8,Sat,evening,True,Long Island City,False
food-and-drink,,True,False,40.7476248,NY,-73.95653259999997,2018-11-03,1,True,25,0,Sat,morning,True,Long Island City,False
food-and-drink,,True,False,40.7476248,NY,-73.95653259999997,2018-11-17,1,True,24,0,Sat,morning,True,Long Island City,False
food-and-drink,,True,False,40.745715866173796,NY,-73.9563131306885,2018-12-01,1,True,24,0,Sat,evening,True,Long Island City,False
visual-arts,70.0,False,False,40.7474496,NY,-73.9541673,2018-12-04,1,True,27,0,Tues,evening,False,Long Island City,False
festivals-fairs,,True,False,40.7484387,NY,-73.9505396,2018-12-06,1,True,25,3,Thurs,afternoon,False,Long Island City,False
charities,75.0,False,False,40.749086,NY,-73.95536120000001,2018-12-09,1,True,27,0,Sun,afternoon,False,Long Island City,False
performing-arts,5.0,False,False,40.7432511476929,NY,-73.95178927744679,2018-12-31,1,True,29,0,Mon,evening,True,Long Island City,False
sports-active-life,20.0,False,False,40.7405823,NJ,-74.0314892,2017-12-29,1,True,26,0,Fri,evening,False,Hoboken,False
music,40.0,False,False,40.735815133619,NJ,-74.0287538990378,2017-12-31,1,True,26,0,Sun,evening,False,Hoboken,False
visual-arts,,True,False,40.737086,NJ,-74.042526,2018-01-13,1,True,21,0,Sat,evening,True,Hoboken,False
visual-arts,35.0,False,False,40.7373865,NJ,-74.04217120000001,2018-02-04,1,True,31,0,Sun,afternoon,False,Hoboken,False
performing-arts,10.0,False,False,40.74406629999999,NJ,-74.0314791,2018-03-02,1,True,27,1,Fri,evening,False,Hoboken,False
kids-family,10.0,False,False,40.74406629999999,NJ,-74.0314791,2018-04-08,1,True,26,0,Sun,morning,True,Hoboken,True
festivals-fairs,,True,False,40.73950900000001,NJ,-74.02771,2018-04-15,1,True,25,0,Sun,morning,True,Hoboken,False
festivals-fairs,,True,False,40.743091583252,NJ,-74.0337829589844,2018-05-06,1,True,22,0,Sun,morning,True,Hoboken,False
performing-arts,5.0,False,False,40.7475346,NJ,-74.03313359999999,2018-05-18,1,True,23,1,Fri,evening,False,Hoboken,False
kids-family,65.0,False,False,40.7368027,NJ,-74.0409552,2018-06-16,1,True,28,0,Sat,morning,True,Hoboken,True
