category,cost,is_free,is_official,latitude,location.state,longitude,event_date,repeat_times,has_image,description_words,duration,day_of_week,time,is_attractive,city
music,,False,False,40.7142969,NY,-73.9558663,2017-12-30,1,True,7,0,Sat,evening,False,Brooklyn
performing-arts,20.0,False,False,40.7404289866457,NY,-73.98468017578121,2017-12-30,2,True,25,0,Sat,evening,True,New York
nightlife,5.0,False,False,40.7432511476929,NY,-73.95178927744679,2017-12-30,1,True,25,0,Sat,evening,False,Long Island City
performing-arts,,True,False,40.6786723207026,NY,-73.9589714418068,2017-12-30,1,True,26,0,Sat,evening,False,Brooklyn
nightlife,30.0,False,False,40.73549439999999,NY,-73.97426999999998,2017-12-30,1,True,22,0,Sat,evening,True,New York
performing-arts,,True,False,40.745291,NY,-73.9864156,2017-12-31,1,True,29,8,Sun,afternoon,False,New York
food-and-drink,,False,False,40.74070510000001,NY,-73.9910605,2017-12-31,1,True,28,0,Sun,afternoon,False,New York
food-and-drink,65.0,False,False,40.74211070000001,NY,-73.984741,2017-12-31,1,True,27,0,Sun,afternoon,False,New York
performing-arts,,True,False,40.7432511476929,NY,-73.95178927744679,2017-12-31,1,True,29,0,Sun,evening,False,Long Island City
nightlife,149.0,False,False,40.7304781,NY,-74.01116359999997,2017-12-31,1,True,24,0,Sun,evening,True,New York
nightlife,99.0,False,False,40.709932,NY,-73.9846017,2017-12-31,1,True,26,0,Sun,evening,True,New York
music,40.0,False,False,40.735815133619,NJ,-74.0287538990378,2017-12-31,1,True,26,0,Sun,evening,False,Hoboken
nightlife,35.0,False,False,40.7423311,NY,-74.00347909999998,2017-12-31,1,True,22,0,Sun,evening,False,New York
nightlife,80.0,False,False,40.7420424869865,NY,-74.003503324823,2017-12-31,1,True,23,0,Sun,evening,False,New York
nightlife,129.0,False,False,40.7291248,NY,-74.0114392,2017-12-31,1,True,25,0,Sun,evening,True,New York
nightlife,,False,False,40.709827839229895,NY,-73.9853025502194,2017-12-31,1,True,20,0,Sun,evening,True,New York
nightlife,159.0,False,False,40.7304781,NY,-74.01116359999997,2017-12-31,1,True,23,0,Sun,evening,True,New York
nightlife,500.0,False,False,40.72307,NY,-73.99203,2017-12-31,1,True,24,0,Sun,evening,False,New York
nightlife,125.0,False,False,40.7423311,NY,-74.00347909999998,2017-12-31,1,True,27,0,Sun,evening,False,New York
nightlife,179.0,False,False,40.709932,NY,-73.9846017,2017-12-31,1,True,23,0,Sun,evening,False,New York
food-and-drink,500.0,False,False,40.7230205730996,NY,-73.9919801428914,2017-12-31,1,True,27,0,Sun,evening,False,New York
nightlife,135.0,False,False,40.7499875,NY,-74.0027094,2017-12-31,1,True,26,0,Sun,evening,False,New York
nightlife,150.0,False,False,40.7499875,NY,-74.0027094,2017-12-31,1,True,26,0,Sun,evening,False,New York
food-and-drink,75.0,False,False,40.7186662,NJ,-74.03487779999998,2017-12-31,1,True,27,0,Sun,evening,True,Jersey City
nightlife,40.0,False,False,40.74031,NY,-74.0055189319355,2017-12-31,1,True,25,0,Sun,evening,False,New York
nightlife,40.0,False,False,40.7160494,NY,-73.9971023,2017-12-31,1,True,27,0,Sun,evening,False,New York
nightlife,109.0,False,False,40.7417779,NY,-74.00579499999998,2017-12-31,1,True,29,0,Sun,evening,False,New York
nightlife,,True,False,40.715132087537,NJ,-74.04667189924,2017-12-31,1,True,24,0,Sun,evening,False,Jersey City
nightlife,150.0,False,False,40.7172592,NY,-73.95510870000003,2017-12-31,1,True,30,0,Sun,evening,False,Brooklyn
food-and-drink,75.0,False,False,40.67302700000001,NY,-73.956828,2017-12-31,2,True,29,0,Sun,evening,True,Brooklyn
food-and-drink,100.0,False,False,40.740985,NY,-73.981317,2017-12-31,1,True,29,0,Sun,evening,False,New York
nightlife,129.0,False,False,40.7357198,NY,-73.9747993,2017-12-31,1,True,22,0,Sun,evening,True,New York
food-and-drink,125.0,False,False,40.7437803,NY,-73.9827379,2017-12-31,1,True,30,0,Sun,evening,False,New York
nightlife,200.0,False,False,40.7230205730996,NY,-73.9919801428914,2017-12-31,1,True,25,0,Sun,evening,False,New York
nightlife,150.0,False,False,40.72307,NY,-73.99203,2017-12-31,1,True,7,0,Sun,evening,False,New York
nightlife,45.0,False,False,40.7237425,NY,-74.0041482,2017-12-31,1,True,27,0,Sun,evening,False,New York
nightlife,129.0,False,False,40.73549439999999,NY,-73.97426999999998,2017-12-31,1,True,23,0,Sun,evening,True,New York
festivals-fairs,20.0,False,False,40.7499891,NY,-73.97733259999998,2017-12-31,1,True,23,0,Sun,evening,False,New York
nightlife,40.0,False,False,40.7086026,NY,-74.013599,2017-12-31,1,True,28,0,Sun,evening,False,New York
nightlife,30.0,False,False,40.7451558,NY,-73.9761847,2017-12-31,1,True,27,0,Sun,evening,False,New York
food-and-drink,0.0,False,False,40.74327529999999,NY,-73.9590448,2017-12-31,1,True,29,0,Sun,evening,False,Long Island City
nightlife,100.0,False,False,40.730379,NY,-73.99462,2017-12-31,1,True,26,0,Sun,evening,False,New York
nightlife,99.0,False,False,40.7397342,NY,-74.0070218,2017-12-31,1,True,30,0,Sun,evening,False,New York
food-and-drink,39.0,False,False,40.7252732,NY,-74.0073909,2018-01-02,1,True,26,0,Tues,evening,False,New York
food-and-drink,49.0,False,False,40.7297781,NY,-73.9865052,2018-01-02,1,True,23,0,Tues,evening,False,New York
nightlife,49.0,False,False,40.7256654,NY,-73.9995465,2018-01-02,2,False,27,0,Tues,evening,True,New York
performing-arts,,True,False,40.7265315,NY,-74.0043743,2018-01-02,1,True,27,0,Tues,evening,True,New York
film,7.0,False,False,40.7246322,NY,-73.9900275,2018-01-03,1,True,25,0,Wed,afternoon,False,New York
performing-arts,,True,False,40.7370304,NY,-73.9925067,2018-01-03,1,True,28,0,Wed,afternoon,False,New York
other,10.0,False,False,40.746612,NY,-73.9880909,2018-01-03,1,True,26,0,Wed,afternoon,False,New York
food-and-drink,30.0,False,False,40.740167,NY,-73.995801,2018-01-04,1,True,19,0,Thurs,evening,False,New York
film,20.0,False,False,40.7191395,NY,-74.0060905,2018-01-04,1,True,25,0,Thurs,evening,False,New York
sports-active-life,,True,False,40.747616,NY,-73.9820335,2018-01-05,1,True,26,0,Fri,evening,False,New York
nightlife,,True,False,40.7216929,NY,-73.9931265,2018-01-05,3,True,28,0,Fri,evening,True,New York
fashion,,True,False,40.746417,NY,-73.983171,2018-01-06,1,True,11,0,Sat,evening,False,New York
kids-family,,True,False,40.7211164,NJ,-74.0470491,2018-01-06,1,True,22,1,Sat,morning,False,Jersey City
kids-family,,True,False,40.731370743568,NY,-73.98318647280401,2018-01-06,1,True,25,0,Sat,afternoon,False,New York
sports-active-life,79.0,False,False,40.6825756316779,NY,-73.97516021967729,2018-01-06,1,True,28,0,Sat,afternoon,True,Brooklyn
food-and-drink,,False,False,40.7179192,NY,-73.99887009999998,2018-01-08,1,True,22,4,Mon,morning,True,New York
